Type_of_surgery,OperationDesc,OperationType
187,גפה עליונה 09(מבוגרים),26
10,החלפת מפרקים 081(מבוגרים),42
42,קיבה 05 ()LAP,2
144,לבלב 083,92
184,גפה תחתונה 09(מבוגרים),31
124,בלוטות לימפה 07,73
76,רקטום ופי הטבעת 02,85
42,קיבה 05 ()LAP,2
26,הרניה 06,33
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
186,מעי גס 041 ()LAP,49
76,פרוקטו רקטום+פי הטבעת 04,E5
99999,גפה עליונה 06(ילדים),3
60,עפעפיים א.יום,1
42,קיבה 05 ()LAP,2
53,כבד 022,A6
65,ניתוחים קיסריים,1
42,קיבה 05 ()LAP,2
20,כיס מרה 08 ()LAP,A0
181,גפה תחתונה 081(מבוגרים),33
20,כיס מרה 08 ()LAP,A0
76,פרוקטו רקטום+פי הטבעת 04,E5
121,גפה עליונה 06(ילדים),3
42,קיבה 05 ()LAP,2
7,פרוקטו רקטום+פי הטבעת 03,E4
42,קיבה 05 ()LAP,2
20,כיס מרה 08 ()LAP,A0
20,כיס מרה 08 ()LAP,A0
8,רחם ובטן,8
26,הרניה 06,33
7,פרוקטו רקטום+פי הטבעת 03,E4
20,כיס מרה 08 ()LAP,A0
7,פרוקטו רקטום+פי הטבעת 03,E4
76,פרוקטו רקטום+פי הטבעת 03,E4
20,כיס מרה 08 ()LAP,A0
76,פרוקטו רקטום+פי הטבעת 03,E4
42,קיבה 05 ()LAP,2
42,קיבה 05 ()LAP,2
214,הסרת נגע,11
121,גפה עליונה 06(ילדים),3
124,בלוטות לימפה 07,73
42,קיבה 05 ()LAP,2
76,פרוקטו רקטום+פי הטבעת 04,E5
20,כיס מרה 08 ()LAP,A0
181,גפה תחתונה 021(מבוגרים),32
20,כיס מרה 08 ()LAP,A0
20,כיס מרה 08 ()LAP,A0
32,הרניה 06,33
214,שונות 54(מבוגרים),54
20,כיס מרה 08 ()LAP,A0
124,בלוטות לימפה 07,73
212,כוויות,5
42,קיבה 061,28
20,כיס מרה 08 ()LAP,A0
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
42,קיבה 061,28
20,כיס מרה 08 ()LAP,A0
245,ניתוח פה ולסת,1
121,גפה עליונה 06(ילדים),3
214,גפה תחתונה 06(מבוגרים),30
181,גפה תחתונה 081(מבוגרים),33
181,גפה תחתונה 06(מבוגרים),30
222,מעי דק 011,60
42,קיבה 05 ()LAP,2
48,"עמ""ש 003(מבוגרים)",49
292,גפה תחתונה 06(מבוגרים),30
32,הרניה 06,33
120,גפה תחתונה 03(מבוגרים),28
7,פרוקטו רקטום+פי הטבעת 03,E4
76,פרוקטו רקטום+פי הטבעת 04,E5
83,גפה תחתונה 021(מבוגרים),32
120,גפה תחתונה 06(מבוגרים),30
7,פרוקטו רקטום+פי הטבעת 03,E4
20,כיס מרה 08 ()LAP,A0
121,גפה עליונה 06(ילדים),3
327,שד 06,64
374,פרוקטו מעי גס 07,E9
65,ניתוחים קיסריים,1
0,שונות 03(מבוגרים),53
99999,קיבה 05 ()LAP,2
7,פרוקטו רקטום+פי הטבעת 03,E4
76,פרוקטו רקטום+פי הטבעת 04,E5
7,פרוקטו רקטום+פי הטבעת 03,E4
20,כיס מרה 08 ()LAP,A0
199,גפה תחתונה 09(מבוגרים),31
7,פרוקטו רקטום+פי הטבעת 03,E4
292,גפה תחתונה 06(מבוגרים),30
20,כיס מרה 08 ()LAP,A0
121,כף יד,3
180,גפיים 04(מבוגרים),36
7,פרוקטו רקטום+פי הטבעת 03,E4
0,גפה עליונה 06(ילדים),3
76,פרוקטו רקטום+פי הטבעת 03,E4
42,קיבה 061,28
120,גפה תחתונה 03(מבוגרים),28
124,בלוטות לימפה 07,73
372,גפיים 03(מבוגרים),35
161,בטן 05,B5
100,אחר 05,C3
208,שונות 03(מבוגרים),53
7,פרוקטו רקטום+פי הטבעת 03,E4
83,גפה תחתונה 021(מבוגרים),32
5,כיס השתן 07,11
42,קיבה 05 ()LAP,2
121,גפה עליונה 06(ילדים),3
7,פרוקטו רקטום+פי הטבעת 03,E4
120,גפה תחתונה 06(מבוגרים),30
7,פרוקטו רקטום+פי הטבעת 03,E4
0,גפה עליונה 06(ילדים),3
120,גפה תחתונה 09(ילדים),10
180,גפה תחתונה 54(ילדים),8
292,גפה תחתונה 06(מבוגרים),30
20,כיס מרה 08 ()LAP,A0
50,הרניה 001 ()LAP,40
20,כיס מרה 08 ()LAP,A0
0,גפה עליונה 06(ילדים),3
120,גפה תחתונה 03(מבוגרים),28
199,גפה תחתונה 09(מבוגרים),31
32,הרניה 06,33
292,גפה תחתונה 06(מבוגרים),30
214,שונות 54(מבוגרים),54
184,גפה תחתונה 042(ילדים),13
207,גפה תחתונה 081(ילדים),12
306,מוח וגולגולת 051,1
184,גפה תחתונה 09(מבוגרים),31
199,גפה תחתונה 09(מבוגרים),31
250,גפה תחתונה 021(ילדים),11
66,הסרת נגע,11
184,גפה תחתונה 09(ילדים),10
121,שונות 06(ילדים),19
252,גפה עליונה 06(ילדים),3
20,כיס מרה 08 ()LAP,A0
398,גפה עליונה 021(ילדים),5
184,שונות 06(ילדים),19
0,גפה עליונה 06(ילדים),3
184,שונות 06(ילדים),19
66,אחר 51,C3
214,שונות 54(מבוגרים),54
199,"עמ""ש 003(מבוגרים)",49
205,שונות 06(ילדים),19
186,מעי גס 041 ()LAP,49
214,שונות 54(מבוגרים),54
120,גפה תחתונה 03(מבוגרים),28
207,גפה תחתונה 021(ילדים),11
207,גפה תחתונה 081(ילדים),12
214,שונות 03(מבוגרים),53
180,שונות 09(ילדים),20
100,בטן 06 ()LAP,B8
121,גפה עליונה 06(ילדים),3
383,שונות 54(מבוגרים),54
180,שונות 09(ילדים),20
210,אחר,4
222,מעי דק 08,56
76,פרוקטו רקטום+פי הטבעת 04,E5
120,גפה תחתונה 09(ילדים),10
387,שונות 03(מבוגרים),53
184,גפה תחתונה 09(מבוגרים),31
120,גפה תחתונה 09(ילדים),10
120,גפה תחתונה 54(ילדים),8
120,גפה תחתונה 54(ילדים),8
42,קיבה 05 ()LAP,2
42,קיבה 05 ()LAP,2
260,אגן 081(ילדים),16
184,גפה תחתונה 09(ילדים),10
200,שונות 06(ילדים),19
2,אחרים 54,62
20,כיס מרה 08 ()LAP,A0
184,גפה תחתונה 03(ילדים),7
181,גפה תחתונה 081(מבוגרים),33
250,גפה תחתונה 03(ילדים),7
250,גפה תחתונה 09(ילדים),10
42,קיבה 05 ()LAP,2
260,שונות 06(ילדים),19
184,גפה תחתונה 03(מבוגרים),28
387,שונות 54(ילדים),18
39,קטרקט א.יום,35
184,שונות 06(ילדים),19
120,גפה תחתונה 03(ילדים),7
387,אגן 081(ילדים),16
120,גפה תחתונה 03(ילדים),7
184,גפה תחתונה 03(ילדים),7
184,גפה תחתונה 03(ילדים),7
250,שונות 03(מבוגרים),53
260,גפיים 04(מבוגרים),36
387,גפה תחתונה 021(ילדים),11
184,גפה תחתונה 03(ילדים),7
120,גפה תחתונה 03(ילדים),7
180,שונות 09(ילדים),20
184,גפה תחתונה 03(ילדים),7
260,שונות 06(ילדים),19
204,גפיים 04(מבוגרים),36
184,גפה תחתונה 03(ילדים),7
387,שונות 54(ילדים),18
26,הרניה 06,33
46,"עמ""ש 024(מבוגרים)",51
214,שונות 54(מבוגרים),54
42,קיבה 05 ()LAP,2
66,אחר 51,C3
214,שונות 03(מבוגרים),53
60,עפעפיים א.יום,1
20,כיס מרה 08 ()LAP,A0
16,פרוקטו רקטום+פי הטבעת 04,E5
42,קיבה 08 ()LAP,5
46,"עמ""ש 003(מבוגרים)",49
7,פרוקטו רקטום+פי הטבעת 03,E4
26,הרניה 06,33
26,הרניה 06,33
16,פרוקטו רקטום+פי הטבעת 04,E5
7,פרוקטו רקטום+פי הטבעת 03,E4
219,רשתית ומקטע אחורי 021-מחלקה,25
39,קטרקט א.יום,35
26,הרניה 06,33
120,גפה תחתונה 09(מבוגרים),31
100,בטן 06 ()LAP,B8
121,כף יד,3
124,בלוטות לימפה 04,72
86,קיבה 061 ()LAP,29
26,הרניה 07 ()LAP,36
76,פרוקטו רקטום+פי הטבעת 03,E4
120,גפה תחתונה 06(מבוגרים),30
23,קיבה 061,28
66,אחר 51,C3
50,הרניה 001 ()LAP,40
20,כיס מרה 08 ()LAP,A0
229,וולווה ופרינאום,7
186,מעי גס 041 ()LAP,49
186,מעי גס 041 ()LAP,49
20,כיס מרה 08 ()LAP,A0
76,פרוקטו רקטום+פי הטבעת 03,E4
42,קיבה 05 ()LAP,2
42,קיבה 05 ()LAP,2
42,קיבה 05 ()LAP,2
50,הרניה 07,35
20,כיס מרה 08 ()LAP,A0
42,קיבה 08 ()LAP,5
32,הרניה 06,33
121,כף יד,3
186,מעי גס 041 ()LAP,49
42,קיבה 05 ()LAP,2
124,בלוטות לימפה 07,73
66,SCC,13
124,בלוטות לימפה 07,73
200,שונות 03(מבוגרים),53
20,כיס מרה 08 ()LAP,A0
154,גלאוקומה 06-א.יום,14
199,גפה תחתונה 09(מבוגרים),31
50,הרניה 001 ()LAP,40
327,שד 06,64
20,כיס מרה 08 ()LAP,A0
121,גפה עליונה 06(ילדים),3
214,שונות 54(מבוגרים),54
6,קרנית א. יום,8
20,כיס מרה 08 ()LAP,A0
292,גפה תחתונה 06(מבוגרים),30
20,כיס מרה 08 ()LAP,A0
16,פרוקטו רקטום+פי הטבעת 04,E5
121,שונות 03(מבוגרים),53
121,כף יד,3
76,פרוקטו רקטום+פי הטבעת 04,E5
32,הרניה 06,33
120,גפה תחתונה 03(מבוגרים),28
129,צוואר 54,26
42,קיבה 05 ()LAP,2
180,גפה עליונה 09(מבוגרים),26
42,קיבה 05 ()LAP,2
100,בטן 07,B9
76,פרוקטו רקטום+פי הטבעת 03,E4
187,גפה עליונה 09(מבוגרים),26
10,החלפת מפרקים 081(מבוגרים),42
26,הרניה 07 ()LAP,36
120,גפה תחתונה 03(מבוגרים),28
292,גפה תחתונה 06(מבוגרים),30
186,מעי גס 041 ()LAP,49
26,הרניה 07 ()LAP,36
214,שונות 54(מבוגרים),54
46,"עמ""ש 003(מבוגרים)",49
182,גפה עליונה 09(מבוגרים),26
42,קיבה 061,28
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
222,מעי דק 08,56
327,שד 06,64
76,פרוקטו רקטום+פי הטבעת 04,E5
66,אחר 51,C3
20,כיס מרה 08 ()LAP,A0
199,גפה עליונה 54(מבוגרים),24
187,גפה עליונה 09(מבוגרים),26
32,הרניה 06,33
46,"עמ""ש 024(מבוגרים)",51
121,גפה עליונה 06(ילדים),3
20,כיס מרה 08 ()LAP,A0
215,מעי גס 07,42
16,פרוקטו רקטום+פי הטבעת 04,E5
42,קיבה 05 ()LAP,2
186,מעי גס 041 ()LAP,49
327,שד 06,64
26,הרניה 06,33
209,מוח וגולגולת 051,1
211,הסרת נגע,11
7,פרוקטו רקטום+פי הטבעת 03,E4
66,הסרת נגע,11
101,בטן 09,C0
26,הרניה 06,33
26,הרניה 06,33
66,הסרת נגע,11
42,קיבה 08 ()LAP,5
42,קיבה 05 ()LAP,2
292,גפה תחתונה 06(מבוגרים),30
32,הרניה 06,33
50,הרניה 07,35
214,שונות 54(מבוגרים),54
121,שונות 03(מבוגרים),53
42,קיבה 05 ()LAP,2
20,כיס מרה 08 ()LAP,A0
181,גפה תחתונה 06(מבוגרים),30
50,הרניה 001 ()LAP,40
76,פרוקטו רקטום+פי הטבעת 04,E5
199,גפה תחתונה 09(מבוגרים),31
121,גפה עליונה 02(מבוגרים),22
66,אחר 51,C3
43,מוח וגולגולת 051,1
214,שונות 54(מבוגרים),54
20,כיס מרה 08 ()LAP,A0
20,כיס מרה 08 ()LAP,A0
16,פרוקטו רקטום+פי הטבעת 04,E5
66,אחר 51,C3
42,קיבה 061,28
42,קיבה 05 ()LAP,2
186,מעי גס 041 ()LAP,49
76,פרוקטו רקטום+פי הטבעת 04,E5
120,גפה תחתונה 09(מבוגרים),31
20,כיס מרה 08 ()LAP,A0
39,קטרקט א.יום,35
66,אחר 51,C3
76,פרוקטו רקטום+פי הטבעת 03,E4
42,קיבה 05 ()LAP,2
50,הרניה 001 ()LAP,40
20,כיס מרה 08 ()LAP,A0
66,הסרת נגע,11
208,שונות 03(מבוגרים),53
121,גפה עליונה 06(ילדים),3
42,קיבה 05 ()LAP,2
32,הרניה 06,33
7,אחר 05,C3
181,גפה תחתונה 081(מבוגרים),33
66,אחר 51,C3
186,מעי גס 041 ()LAP,49
42,קיבה 05 ()LAP,2
124,בלוטות לימפה 07,73
387,גפה תחתונה 06(מבוגרים),30
20,כיס מרה 08 ()LAP,A0
124,בלוטות לימפה 04,72
181,גפה תחתונה 081(מבוגרים),33
66,אחר 51,C3
292,גפה תחתונה 06(מבוגרים),30
20,כיס מרה 08 ()LAP,A0
120,גפה תחתונה 06(מבוגרים),30
372,גפה תחתונה 06(מבוגרים),30
20,כיס מרה 08 ()LAP,A0
42,קיבה 08 ()LAP,5
50,הרניה 08 ()LAP,38
49,מעי דק 011,60
86,קיבה 061 ()LAP,29
100,בטן 06 ()LAP,B8
42,קיבה 08 ()LAP,5
66,אחר 51,C3
219,רשתית ומקטע אחורי 021-מחלקה,25
49,מעי דק 011,60
158,מעי גס 051,50
50,הרניה 05,32
42,קיבה 08 ()LAP,5
120,גפה תחתונה 03(מבוגרים),28
10,החלפת מפרקים 081(מבוגרים),42
7,פרוקטו רקטום+פי הטבעת 03,E4
76,פרוקטו רקטום+פי הטבעת 04,E5
42,קיבה 061,28
65,ניתוחים קיסריים,1
7,פרוקטו רקטום+פי הטבעת 03,E4
42,קיבה 05 ()LAP,2
42,קיבה 05 ()LAP,2
0,גפה עליונה 06(ילדים),3
20,כיס מרה 08 ()LAP,A0
158,מעי גס 051,50
72,שופכן 54,5
50,הרניה 001 ()LAP,40
26,הרניה 07 ()LAP,36
16,פרוקטו רקטום+פי הטבעת 04,E5
16,פרוקטו רקטום+פי הטבעת 04,E5
32,הרניה 06,33
23,קיבה 061,28
187,גפה עליונה 09(מבוגרים),26
13,החלפת מפרקים 021(מבוגרים),40
26,הרניה 06,33
46,"עמ""ש 003(מבוגרים)",49
52,תוספתן 06 ()LAP,B4
163,אנדוסקופיים 03,38
125,צוואר 54,26
13,החלפת מפרקים 021(מבוגרים),40
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
210,אחר,4
158,פרוקטו רקטום+פי הטבעת 06,E6
20,כיס מרה 08 ()LAP,A0
186,מעי גס 041 ()LAP,49
20,כיס מרה 08 ()LAP,A0
210,אחר,4
13,החלפת מפרקים 021(מבוגרים),40
20,כיס מרה 08 ()LAP,A0
121,כף יד,3
121,כף יד,3
252,גפה עליונה 06(ילדים),3
7,פרוקטו רקטום+פי הטבעת 03,E4
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
101,בטן 09,C0
32,הרניה 06,33
199,גפה תחתונה 54(מבוגרים),29
5,כיס השתן 07,11
39,קטרקט א.יום,35
372,גפה תחתונה 06(מבוגרים),30
8,רחם ובטן,8
66,הסרת נגע,11
158,מעי גס 051,50
186,מעי גס 041 ()LAP,49
112,BCC,14
39,קטרקט א.יום,40
121,גפה עליונה 06(ילדים),3
158,מעי גס 051,50
49,מעי גס 051 ()LAP,51
26,הרניה 06,33
50,הרניה 08,37
120,גפה תחתונה 06(מבוגרים),30
20,כיס מרה 08 ()LAP,A0
10,החלפת מפרקים 081(מבוגרים),42
46,"עמ""ש 024(מבוגרים)",51
39,קטרקט א.יום,40
66,אחר 51,C3
100,בטן 06 ()LAP,B8
42,קיבה 05 ()LAP,2
99999,קיבה 05 ()LAP,2
124,בלוטות לימפה 07,73
158,פרוקטו רקטום+פי הטבעת 06,E6
97,אנדוסקופיים 06,40
26,הרניה 06,33
181,גפה תחתונה 081(מבוגרים),33
121,גפה עליונה 06(ילדים),3
186,מעי גס 041 ()LAP,49
46,"עמ""ש 024(מבוגרים)",51
0,גפה תחתונה 06(מבוגרים),30
120,גפה תחתונה 09(מבוגרים),31
186,מעי גס 041 ()LAP,49
42,קיבה 05 ()LAP,2
20,כיס מרה 08 ()LAP,A0
23,קיבה 061,28
10,החלפת מפרקים 081(מבוגרים),42
20,כיס מרה 08 ()LAP,A0
66,אחר 51,C3
255,MOSS,2
20,כיס מרה 08 ()LAP,A0
76,פרוקטו רקטום+פי הטבעת 04,E5
390,כליה 092 LAP,4
39,קטרקט א.יום,40
26,הרניה 06,33
26,הרניה 06,33
31,( 90 FESSאנדוסקופי),3
66,אחר 51,C3
3,שופכן 09,6
39,קטרקט א.יום,35
390,כליה 092 LAP,4
66,אחר 51,C3
46,"עמ""ש 024(מבוגרים)",51
121,גפה עליונה 54(מבוגרים),24
20,כיס מרה 08 ()LAP,A0
100,בטן 06 ()LAP,B8
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
120,גפה תחתונה 09(מבוגרים),31
76,פרוקטו רקטום+פי הטבעת 04,E5
228,ווגינה ורצפת אגן,6
122,ניתוח חזה,9
214,שונות 54(מבוגרים),54
66,אחר 51,C3
76,פרוקטו רקטום+פי הטבעת 04,E5
186,מעי גס 012,54
20,כיס מרה 08 ()LAP,A0
186,מעי דק 011,60
26,הרניה 06,33
42,קיבה 05 ()LAP,2
222,מעי דק 08,56
327,שד 06,64
120,גפה תחתונה 09(מבוגרים),31
23,קיבה 081,30
26,הרניה 07 ()LAP,36
16,פרוקטו רקטום+פי הטבעת 04,E5
42,קיבה 061,28
20,כיס מרה 08 ()LAP,A0
46,"עמ""ש 003(מבוגרים)",49
26,הרניה 06,33
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
66,הסרת נגע,11
20,כיס מרה 08 ()LAP,A0
20,כיס מרה 08 ()LAP,A0
120,גפה תחתונה 09(מבוגרים),31
76,פרוקטו רקטום+פי הטבעת 04,E5
50,הרניה 001 ()LAP,40
46,"עמ""ש 024(מבוגרים)",51
76,פרוקטו רקטום+פי הטבעת 04,E5
76,פרוקטו רקטום+פי הטבעת 03,E4
32,הרניה 06,33
76,פרוקטו רקטום+פי הטבעת 04,E5
20,כיס מרה 08 ()LAP,A0
66,אחר 51,C3
26,הרניה 06,33
268,ניתוח מעקפים,2
20,כיס מרה 08 ()LAP,A0
66,הסרת נגע,11
20,כיס מרה 08 ()LAP,A0
120,גפה תחתונה 09(מבוגרים),31
327,שד 06,64
76,פרוקטו רקטום+פי הטבעת 04,E5
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
50,הרניה 001 ()LAP,40
187,גפה עליונה 09(מבוגרים),26
100,בטן 07,B9
20,כיס מרה 08 ()LAP,A0
66,הסרת נגע,11
120,גפה תחתונה 06(מבוגרים),30
121,כף יד,3
8,רחם ובטן,8
186,מעי גס 041 ()LAP,49
120,גפה תחתונה 06(מבוגרים),30
50,הרניה 001 ()LAP,40
7,פרוקטו רקטום+פי הטבעת 03,E4
214,שונות 54(מבוגרים),54
187,גפה עליונה 09(מבוגרים),26
180,שונות 021(ילדים),21
124,בלוטות לימפה 07,73
214,שונות 54(מבוגרים),54
120,שונות 54(מבוגרים),54
76,פרוקטו רקטום+פי הטבעת 04,E5
147,ניתוח חזה,9
26,הרניה 06,33
181,גפה תחתונה 081(מבוגרים),33
199,גפה תחתונה 09(מבוגרים),31
171,שחלה,4
180,גפיים 04(מבוגרים),36
76,פרוקטו רקטום+פי הטבעת 04,E5
20,כיס מרה 08 ()LAP,A0
42,קיבה 05 ()LAP,2
288,גפה עליונה 06(מבוגרים),25
26,הרניה 06,33
7,פרוקטו רקטום+פי הטבעת 03,E4
121,גפה עליונה 02(מבוגרים),22
252,גפה עליונה 06(ילדים),3
42,קיבה 05 ()LAP,2
79,גרידות,9
43,שנטים/ניקוזים 051,3
42,קיבה 05 ()LAP,2
76,פרוקטו רקטום+פי הטבעת 03,E4
303,"עמ""ש 024(מבוגרים)",51
42,קיבה 05 ()LAP,2
76,מעי דק 011,60
20,כיס מרה 08 ()LAP,A0
99999,קיבה 05 ()LAP,2
66,BCC,14
20,כיס מרה 08 ()LAP,A0
158,מעי גס 051,50
0,גפה עליונה 06(ילדים),3
121,גפה עליונה 02(מבוגרים),22
263,ניתוח מסתמים,3
358,גפיים תחתונות ועליונות 051,5
42,קיבה 061,28
16,פרוקטו רקטום+פי הטבעת 04,E5
158,פרוקטו רקטום+פי הטבעת 06,E6
212,הסרת נגע,11
23,קיבה 061,28
214,שונות 54(מבוגרים),54
327,שד 06,64
76,פרוקטו רקטום+פי הטבעת 03,E4
289,גפה עליונה 06(מבוגרים),25
20,כיס מרה 08 ()LAP,A0
158,מעי גס 051,50
39,קטרקט א.יום,40
20,כיס מרה 08 ()LAP,A0
120,גפה תחתונה 06(מבוגרים),30
20,כיס מרה 08 ()LAP,A0
170,ווגינה ורצפת אגן,6
26,הרניה 07 ()LAP,36
186,מעי גס 041 ()LAP,49
20,כיס מרה 08 ()LAP,A0
158,פרוקטו רקטום+פי הטבעת 06,E6
20,כיס מרה 08 ()LAP,A0
20,כיס מרה 08 ()LAP,A0
301,"עמ""ש 024(מבוגרים)",51
180,שונות 54(מבוגרים),54
66,אחר 51,C3
20,כיס מרה 08 ()LAP,A0
7,פרוקטו רקטום+פי הטבעת 03,E4
121,כף יד,3
292,גפה תחתונה 081(מבוגרים),33
121,גפה עליונה 06(ילדים),3
7,פרוקטו רקטום+פי הטבעת 03,E4
16,פרוקטו רקטום+פי הטבעת 04,E5
42,קיבה 05 ()LAP,2
199,גפה תחתונה 54(מבוגרים),29
180,גפיים 09(מבוגרים),38
186,מעי גס 041 ()LAP,49
42,קיבה 05 ()LAP,2
7,פרוקטו רקטום+פי הטבעת 03,E4
158,מעי גס 051,50
76,פרוקטו רקטום+פי הטבעת 04,E5
42,קיבה 05 ()LAP,2
39,קטרקט א.יום,35
10,החלפת מפרקים 081(מבוגרים),42
182,גפה עליונה 021(מבוגרים),60
39,קטרקט א.יום,40
121,גפה עליונה 02(מבוגרים),22
186,מעי גס 041 ()LAP,49
66,אחר 51,C3
76,פרוקטו רקטום+פי הטבעת 04,E5
158,מעי גס 051,50
182,גפה עליונה 54(מבוגרים),24
26,הרניה 06,33
23,קיבה 061,28
76,פרוקטו רקטום+פי הטבעת 04,E5
50,הרניה 001 ()LAP,40
20,כיס מרה 08 ()LAP,A0
187,גפה עליונה 09(מבוגרים),26
20,כיס מרה 08 ()LAP,A0
186,מעי גס 041 ()LAP,49
20,כיס מרה 08 ()LAP,A0
186,מעי גס 041 ()LAP,49
144,לבלב 083,92
100,בטן 07,B9
161,בטן 05,B5
161,בטן 05,B5
20,כיס מרה 08 ()LAP,A0
20,כיס מרה 08 ()LAP,A0
66,אחר 51,C3
79,גרידות,9
50,הרניה 05,32
49,מעי דק 011,60
65,ניתוחים קיסריים,1
214,שונות 54(מבוגרים),54
121,גפה עליונה 02(מבוגרים),22
66,אחר 51,C3
39,קטרקט א.יום,40
16,פרוקטו רקטום+פי הטבעת 04,E5
372,גפיים 03(מבוגרים),35
252,גפה עליונה 06(ילדים),3
16,פרוקטו רקטום+פי הטבעת 04,E5
42,קיבה 05 ()LAP,2
16,פרוקטו רקטום+פי הטבעת 04,E5
50,הרניה 001 ()LAP,40
42,קיבה 05 ()LAP,2
187,גפה עליונה 09(מבוגרים),26
121,גפה עליונה 06(ילדים),3
42,קיבה 05 ()LAP,2
252,גפה עליונה 06(ילדים),3
120,גפה תחתונה 06(מבוגרים),30
289,גפה עליונה 06(מבוגרים),25
42,קיבה 061,28
20,כיס מרה 08 ()LAP,A0
66,הסרת נגע,11
32,הרניה 06,33
3,שופכן 09,6
231,החלפת מפרקים 021(מבוגרים),40
7,פרוקטו רקטום+פי הטבעת 03,E4
181,גפה תחתונה 06(מבוגרים),30
186,מעי גס 041 ()LAP,49
66,הסרת נגע,11
42,קיבה 05 ()LAP,2
327,שד 06,64
42,קיבה 05 ()LAP,2
49,מעי דק 011,60
120,גפה תחתונה 06(מבוגרים),30
161,בטן 06,B7
99999,שונות 03(מבוגרים),53
46,"עמ""ש 024(מבוגרים)",51
110,מסטואיד 051,56
42,קיבה 05 ()LAP,2
66,הסרת נגע,11
181,גפה תחתונה 06(מבוגרים),30
186,מעי גס 041 ()LAP,49
161,בטן 05,B5
184,שונות 09(ילדים),20
42,קיבה 05 ()LAP,2
76,פרוקטו רקטום+פי הטבעת 06,E6
158,פרוקטו רקטום+פי הטבעת 06,E6
120,גפה תחתונה 09(מבוגרים),31
20,כיס מרה 08 ()LAP,A0
109,BCC,14
49,מעי דק 011,60
213,שונות 03(מבוגרים),53
250,גפה תחתונה 021(ילדים),11
184,גפה תחתונה 042(ילדים),13
180,שונות 09(ילדים),20
83,שונות 06(ילדים),19
48,"עמ""ש 003(מבוגרים)",49
184,גפה תחתונה 09(מבוגרים),31
250,גפה תחתונה 021(ילדים),11
184,גפה תחתונה 09(מבוגרים),31
398,גפה עליונה 06(ילדים),3
186,מעי גס 041 ()LAP,49
16,פרוקטו רקטום+פי הטבעת 04,E5
89,שק האשכים 05-א.יום,27
186,מעי גס 041 ()LAP,49
187,גפה תחתונה 06(מבוגרים),30
180,גפה תחתונה 03(ילדים),7
250,גפה תחתונה 09(ילדים),10
392,גפה עליונה 06(מבוגרים),25
180,גפה תחתונה 03(ילדים),7
50,הרניה 05,32
